1971-PSC	127
1971-PSY	282
1971-PT	3
1971-PTH	3
1971-RCC	8
1971-RPR	2
1971-RPS	1
1971-RUS	11
1971-SEC	6
1971-SOC	259
1971-SOS	22
1971-SP	94
1971-SPA	42
1971-SPF	70
1971-SPM	5
1971-SSA	3
1971-SSC	1
1971-STA	10
1971-SW	110
1971-SWA	1
1971-SYS	9
1971-TED	94
1971-TH	17
1971-UCE	42
1971-UKR	2
1971-URS	1
1971-USB	17
1971-WSC	6
1971-XMC	2
1972-A&L	7
1972-AFS	9
1972-AHI	52
1972-AMS	63
1972-ANA	39
1972-APY	124
1972-ARA	1
1972-ARK	11
1972-ART	50
1972-BCH	12
1972-BCP	16
1972-BEH	8
1972-BIO	112
1972-BPH	9
1972-BSP	90
1972-CA	16
1972-CB	22
1972-CE	11
1972-CED	31
1972-CF	3
1972-CFC	1
1972-CH	7
1972-CHE	164
1972-CHI	1
1972-CIE	14
1972-CL	43
1972-CLD	12
1972-COE	51
1972-CPS	9
1972-CS	27
1972-CUR	13
1972-CZ	4
1972-DS	15
1972-DUS	11
1972-EAS	47
1972-ECO	75
1972-EDA	31
1972-EDP	43
1972-EDS	1
1972-EE	48
1972-END	19
1972-ENG	460
1972-ENS	11
1972-ERE	77
1972-EXC	4
1972-FOR	2
1972-FPR	5
1972-FR	60
1972-FS	2
1972-GEO	81
1972-GER	29
1972-GLY	24
1972-GR	8
1972-HDS	20
1972-HEB	7
1972-HEC	1
1972-HED	12
1972-HER	32
1972-HIN	1
1972-HIS	218
1972-HRP	21
1972-HSE	13
1972-HUM	1
1972-IE	2
1972-IED	35
1972-INC	20
1972-ITA	14
1972-JAP	3
1972-JDS	6
1972-LAS	1
1972-LAT	11
1972-LAW	53
1972-LIN	37
1972-LIS	54
1972-MAS	7
1972-MCH	1
1972-ME	4
1972-MED	7
1972-MFC	14
1972-MGA	60
1972-MGB	23
1972-MGE	6
1972-MGF	14
1972-MGI	31
1972-MGM	16
1972-MGO	4
1972-MGQ	8
1972-MGS	36
1972-MGT	9
1972-MIC	43
1972-MT	23
1972-MTH	246
1972-MUS	142
1972-NC	16
1972-NSM	2
1972-NUR	99
1972-ODE	15
1972-OPR	1
1972-ORB	12
1972-OSU	11
1972-OT	29
1972-PDO	7
1972-PE	122
1972-PEH	3
1972-PER	13
1972-PGY	98
1972-PHA	68
1972-PHC	7
1972-PHI	162
1972-PHM	12
1972-PHW	11
1972-PLS	4
1972-PMY	3
1972-POL	2
1972-PRS	20
1972-PSC	103
1972-PSY	358
1972-PT	7
1972-PTH	7
1972-PTY	3
1972-RCC	9
1972-RPR	13
1972-RUS	8
1972-SOC	232
1972-SOS	9
1972-SP	115
1972-SPA	50
1972-SPF	41
1972-SPM	13
1972-SSA	3
1972-STA	19
1972-SUR	1
1972-SW	119
1972-SWA	2
1972-SYS	5
1972-TED	64
1972-TH	34
1972-THB	1
1972-THI	1
1972-UCE	30
1972-UKR	1
1972-URS	5
1972-USB	18
1972-VIC	2
1972-VSP	2
1972-WSC	28
1973-AFS	3
1973-AHI	53
1973-AMH	1
1973-AMS	44
1973-ANA	29
1973-APY	133
1973-ARA	1
1973-ARC	3
1973-ARK	3
1973-ART	40
1973-BCH	25
1973-BCP	20
1973-BEH	13
1973-BIO	144
1973-BIR	1
1973-BPH	12
1973-BSP	88
1973-CA	2
1973-CB	23
1973-CC	2
1973-CCL	2
1973-CE	15
1973-CED	39
1973-CF	3
1973-CFC	5
1973-CH	17
1973-CHE	187
1973-CHI	3
1973-CIE	12
1973-CL	20
1973-CLD	12
1973-COE	97
1973-CPS	7
1973-CS	54
1973-CUR	11
1973-CZ	11
1973-DAN	1
1973-DS	16
1973-DUS	7
1973-EAS	51
1973-ECO	112
1973-EDA	27
1973-EDO	11
1973-EDP	37
1973-EE	30
