Farber 180	09:00__1
Farber 182	08:00__1
Farber 182	15:30__1
Farber 182	18:00__3
Farber 182	19:15__3
Farber G26	08:00__1
Farber G26	19:15__2
Filmor 170	08:00__31
Filmor 170	11:45__39
Filmor 170	15:30__41
Filmor 170	19:00__1
Filmor 170	19:15__18
Filmor 317	08:00__13
Filmor 317	11:45__24
Filmor 317	15:30__7
Filmor 319	08:00__17
Filmor 319	11:45__17
Filmor 319	15:30__4
Filmor 322	08:00__15
Filmor 322	11:45__26
Filmor 322	15:30__17
Filmor 322	19:15__4
Filmor 325	08:00__7
Filmor 325	11:45__16
Filmor 325	15:30__5
Filmor 328	08:00__10
Filmor 328	11:45__13
Filmor 328	15:30__4
Filmor 343	11:45__3
Filmor 343	15:30__2
Filmor 351	08:00__7
Filmor 351	11:45__9
Filmor 351	15:30__8
Filmor 351	19:15__2
Filmor 352	08:00__6
Filmor 352	11:45__10
Filmor 352	15:30__2
Filmor 354	08:00__1
Filmor 354	12:30__1
Filmor 355	08:00__15
Filmor 355	11:45__20
Filmor 355	15:30__11
Filmor 355	19:15__7
Frnczk 206	11:45__2
Frnczk 206	15:30__2
Frnczk 206	19:15__1
Frnczk 219	08:00__4
Frnczk 219	11:45__6
Frnczk 219	15:30__9
Frnczk 219	19:15__1
Frnczk 336	15:30__4
Frnczk 341	08:00__7
Frnczk 341	11:45__14
Frnczk 341	15:30__8
Frnczk 422	08:00__37
Frnczk 422	11:45__45
Frnczk 422	15:30__33
Frnczk 422	19:15__19
Frnczk 424	08:00__17
Frnczk 424	11:45__25
Frnczk 424	15:30__9
Frnczk 424	19:15__2
Frnczk 454	08:00__23
Frnczk 454	11:45__25
Frnczk 454	15:30__26
Frnczk 454	19:15__16
Frnczk Arr	11:45__1
Furnas 213	11:45__2
Furnas 214	11:45__1
Furnas 214	15:30__1
Furnas 214	19:15__1
Furnas 415	08:00__3
Furnas 415	11:45__1
Furnas 415	15:30__3
Furnas 416	11:45__1
Furnas Arr	11:45__2
Hayesb 07	08:00__3
Hayesb 07	11:45__1
Hayesb 07	13:30__2
Hayesc 05	11:45__1
Hoch 114	08:00__177
Hoch 114	11:30__2
Hoch 114	11:45__71
Hoch 114	15:30__74
Hoch 114	19:15__159
Hoch 139	08:00__4
Hoch 139	11:45__6
Hoch 139	15:30__6
Hoch 307	08:00__3
Hoch 307	11:45__3
Hoch 307	15:30__1
Hoch 430	11:45__2
Hoch 430	15:30__2
Jacobs 106	08:00__12
Jacobs 106	11:45__18
Jacobs 106	15:30__16
Jacobs 106	18:30__1
Jacobs 106	19:15__16
Jacobs 110	08:00__22
Jacobs 110	11:45__17
Jacobs 110	15:30__16
Jacobs 110	19:15__16
Jacobs 112	08:00__13
Jacobs 112	11:45__13
Jacobs 112	15:30__14
Jacobs 112	19:15__21
Jacobs 122	08:00__16
Jacobs 122	11:45__13
Jacobs 122	15:30__12
Jacobs 122	19:15__18
Jacobs 214	08:00__13
Jacobs 214	11:45__21
Jacobs 214	15:30__16
Jacobs 214	19:15__7
Jacobs 320	08:00__6
Jacobs 320	11:45__6
Jacobs 320	15:30__6
Jacobs 320	18:30__1
Jacobs 320	19:15__17
Jacobs 325B	11:45__2
Jacobs Arr	08:00__2
Jacobs B32	08:00__1
Jacobs B32	11:45__1
Jacobs B32	19:15__1
Jarvis 216	08:00__1
Jarvis 223	11:45__2
Kapoor 125	08:00__30
Kapoor 125	09:00__2
Kapoor 125	11:45__24
Kapoor 125	12:00__1
Kapoor 125	13:00__1
Kapoor 125	15:30__19
Kapoor 183A	15:30__4
Kapoor 190	08:00__51
Kapoor 190	11:45__30
Kapoor 190	13:00__2
Kapoor 190	15:30__12
Kapoor 190	19:15__1
Kapoor 264A	11:45__1
Kapoor 264A	15:30__1
Kapoor 264B	15:30__1
Kapoor 443	11:45__4
Kapoor 443	15:30__1
Ketter 140	08:00__4
Ketter 140	11:45__6
Ketter 140	15:30__9
Ketter 140	19:15__5
Kimbal 108	08:00__18
Kimbal 108	11:45__17
Kimbal 108	15:30__14
Kimbal 108	17:00__1
Kimbal 108	17:30__1
Kimbal 108	19:15__8
Kimbal 111	08:00__23
Kimbal 111	11:45__15
Kimbal 111	15:30__15
Kimbal 111	19:15__5
Kimbal 125	08:00__22
Kimbal 125	09:00__3
Kimbal 125	10:00__1
Kimbal 125	11:45__18
Kimbal 125	13:00__2
Kimbal 125	15:30__21
Kimbal 125	19:15__4
Kimbal 126	08:00__17
Kimbal 126	11:45__22
Kimbal 126	15:30__12
Kimbal 126	19:15__8
Kimbal 210	11:45__1
Kimbal 210	15:30__2
Kimbal 518	11:45__3
Kimbal 518	15:30__6
Kimbal 720	08:00__1
Knox 04	08:00__41
Knox 04	11:45__49
Knox 04	15:30__46
Knox 04	19:15__34
Knox 104	08:00__175
Knox 104	11:45__101
Knox 104	15:30__55
Knox 104	19:15__145
Knox 109	08:00__164
Knox 109	11:45__115
Knox 109	15:30__58
Knox 109	19:15__169
Knox 110	08:00__191
Knox 110	11:45__112
Knox 110	15:30__62
Knox 110	19:15__148
Knox 14	08:00__25
Knox 14	11:45__52
Knox 14	15:30__33
Knox 14	19:15__25
Knox 20	08:00__214
Knox 20	11:45__200
Knox 20	15:30__82
Knox 20	19:15__175
Math 122	08:00__9
Math 122	11:45__12
Math 122	15:30__5
Math 150	08:00__15
Math 150	11:45__25
Math 150	15:30__16
Math 150	19:15__1
Math 235	09:00__1
Math 235	11:45__1
Math 235	15:30__1
Math 250	08:00__14
Math 250	11:45__26
Math 250	15:30__12
Math Arr	08:00__1
Norton 112	08:00__166
Norton 112	11:45__121
Norton 112	15:30__64
Norton 112	19:15__95
Norton 209	08:00__6
Norton 209	11:45__30
Norton 209	15:30__9
Norton 209	19:15__8
Norton 210	08:00__10
Norton 210	11:45__23
Norton 210	15:30__17
Norton 210	19:15__9
Norton 213	08:00__16
Norton 213	11:45__17
Norton 213	15:30__13
Norton 213	19:15__6
Norton 214	08:00__6
Norton 214	11:45__20
Norton 214	15:30__11
Norton 214	19:15__6
Norton 216	08:00__10
Norton 216	11:45__10
Norton 216	15:30__7
Norton 216	19:15__6
Norton 218	08:00__35
Norton 218	11:45__40
Norton 218	15:30__43
Norton 218	19:15__26
Nsc 201	08:00__214
Nsc 201	09:00__1
Nsc 201	11:45__158
Nsc 201	13:00__2
Nsc 201	15:30__85
Nsc 201	19:15__191
Nsc 205	08:00__126
Nsc 205	11:45__64
Nsc 205	15:30__47
Nsc 205	19:15__62
Nsc 210	08:00__112
Nsc 210	11:45__84
Nsc 210	15:30__44
Nsc 210	18:00__1
Nsc 210	19:15__63
Nsc 215	08:00__146
Nsc 215	11:45__125
Nsc 215	15:30__91
Nsc 215	19:15__101
Nsc 216	08:00__153
Nsc 216	11:45__64
Nsc 216	15:30__39
Nsc 216	19:15__50
Nsc 218	08:00__102
Nsc 218	11:45__73
Nsc 218	15:30__30
Nsc 218	19:15__40
Nsc 220	08:00__144
Nsc 220	11:45__69
Nsc 220	15:30__32
Nsc 220	19:15__89
Nsc 222	08:00__127
Nsc 222	11:45__43
Nsc 222	15:30__27
Nsc 222	19:15__49
Nsc 225	08:00__262
Nsc 225	11:45__170
Nsc 225	15:30__82
Nsc 225	19:15__206
Nsc 228	08:00__107
Nsc 228	11:45__50
Nsc 228	15:30__33
Nsc 228	19:15__61
Nsc 245	11:45__3
Nsc 848	11:45__1
Nsc Arr	08:00__1
Nsc Arr	19:15__1
Obrian 109	08:00__42
Obrian 109	10:00__1
Obrian 109	11:45__54
Obrian 109	15:30__33
Obrian 109	19:15__28
Obrian 112	08:00__43
Obrian 112	11:45__58
Obrian 112	15:30__31
Obrian 112	19:15__62
Obrian 209	08:00__15
Obrian 209	11:45__32
Obrian 209	15:30__14
Obrian 209	19:15__19
Obrian 210	08:00__9
Obrian 210	11:45__21
Obrian 210	15:30__13
Obrian 210	19:15__17
