Biores 647	0_1_1
Biores 649	0_5_5
Biores 651	5_5_5
Biores 653	4_5_5
Biores 656	67_273_39
Biores 660	69_186_31
Bonner 117	48_100_20
Bonner 119	34_52_13
Bonner 120	4_6_3
Bonner 126	46_6_6
Bonner 127	47_2_2
Bonner 201	2_2_2
Bonner 210	7_5_1
Bonner 210A	3_12_3
Bonner 212	303_1680_84
Bonner 214	1_1_1
Bonner 215A	1_3_3
Bonner 215C	2_2_2
Bonner 215F	2_2_1
Bonner 217A	434_2580_129
Bonner 217B	1_1_1
Bonner 217C	0_1_1
Bonner 218	2_1_1
Bonner 309	6_3_3
Bonner 312	11_4_4
Bonner 312B	8_8_2
Bonner 314A	7_12_4
Bonner 316	1_1_1
Bonner 332	1858_2058_2058
Bonner 332F	502_463_463
Bonner 410	11_130_13
Bonner 412	95_148_148
Bonner 412A	81_216_18
Bonner 414	430_1480_37
Capen 10	34685_69768_1368
Capen 107	184_336_7
Capen 108	3509_5880_196
Capen 109	2559_4470_149
Capen 110	2821_4650_155
Capen 12	1_1_1
Capen 127	265_230_23
Capen 128	12_2_2
Capen 201	8839_18800_400
Capen 201A	3453_7896_168
Capen 207	120_329_7
Capen 212	262_228_19
Capen 221	4_2_1
Capen 252	8232_15750_350
Capen 255	2272_492_123
Capen 257	8761_16716_796
Capen 258	22499_35595_1017
Capen 259	408_408_68
Capen 260	24779_43860_1462
Capen 262	37623_61306_1057
Capen 263	7535_410_410
Capen 267	15_3_1
Capen 31	1662_3510_78
Capen 402	160_54_27
Capen 435	0_30_1
Capen 528	9_10_1
Capen 541	27_4_4
Capen 544	17_2_2
Capen 548	0_100_20
Capen 549	9_4_2
Capen 562	6_16_8
Capen 567	199_264_11
Cary 01	52_42_21
Cary 03	33_32_16
Cary 04	27_52_13
Cary 05	9_15_5
Cary 06	10_66_22
Cary 104	12_31_31
Cary 104B	17_165_15
Cary 104C	8_3_1
Cary 105	112_192_32
Cary 105A	22_24_12
Cary 106	334_1335_89
Cary 107	9_198_33
Cary 108	30_188_47
Cary 109	26_22_22
Cary 11	2_27_9
Cary 112	25_19_19
Cary 114	8_8_8
Cary 116	22_18_18
Cary 118	4_3_3
Cary 120	149_3_3
Cary 122C	980_1520_152
Cary 137A	1_4_1
Cary 137B	1_4_1
Cary 137H	1_4_1
Cary 137K	1_4_1
Cary 137N	1_4_1
Cary 137S	1_4_1
Cary 14	4_70_35
Cary 18	322_416_104
Cary 205	1_6_1
Cary 206	36_204_34
Cary 22	25_12_2
Cary 224	33_22_22
Cary 231	477_32_32
Cary 238	0_42_7
Cary 240	7_2_1
Cary 242	2_4_1
Cary 244	4611_5700_114
Cary 245	3854_104_104
Cary 26	129_396_132
Cary 28	21_28_28
Cary 28A	25_4_4
Cary 30	1072_4500_180
Cary 301	13_624_52
Cary 305	15_224_56
Cary 306	2_33_11
Cary 315	1_1_1
Cary 317	13_9_3
Cary 318	133_471_157
Cary 320	106_540_180
Cary 321	20_216_18
Cary 324	97_304_152
Cary 33	166_288_96
Cary 339	13_30_1
Cary 34	21_175_7
Cary 38	225_380_95
Cary 38A	3_1_1
Cary 38B	67_224_56
Cary 42	247_95_19
Cary 44	119_43_43
Cfa 108	1_1_1
Cfa 112	12337_70400_352
Cfa 117	4898_9702_441
Cfa 118	3460_9460_473
Cfa 119	1_5_5
Cfa 123	40_92_23
Cfa 125	6_6_6
Cfa 127	0_23_23
Cfa 129	37_92_23
Cfa 130	1_16_4
Cfa 131	14_48_12
Cfa 133	4_32_8
Cfa 135	242_560_140
Cfa 136	6321_6034_431
Cfa 137	2_5_5
Cfa 138	194_67_67
Cfa 139	52_70_35
Cfa 140	929_897_299
Cfa 141	59_260_65
Cfa 142	1330_5536_173
Cfa 144	11155_26016_542
Cfa 146	2705_5523_263
Cfa 170	2046_64440_179
Cfa 202	13_21_21
Cfa 202D	9_10_10
Cfa 203	2596_14190_330
Cfa 207	13_182_13
Cfa 208	2783_3168_176
Cfa 209	10_28_4
Cfa 210	3099_4986_277
Cfa 211	6_21_3
Cfa 212	26_210_15
Cfa 213	2534_2790_155
Cfa 214	22_266_19
Cfa 215	1747_2538_141
Cfa 218	2422_4536_252
Cfa 219	14_140_10
Cfa 220	890_16994_293
Cfa 225	38_18_18
Cfa 225A	71_68_68
Cfa 226	62_78_78
Cfa 226A	163_130_130
Cfa 227	149_91_91
Cfa 227A	27_55_55
Cfa 228	47_140_28
Cfa 228A	153_131_131
Cfa 229	409_119_119
Cfa 229A	104_74_74
Cfa 230	58_48_48
Cfa 230A	33_51_51
Cfa 231	70_357_119
Cfa 232	4680_15480_516
Cfa 235	5003_17070_569
Cfa 238	359_4092_341
Cfa 241	1_8_8
Cfa 242	2546_6027_287
Cfa 243A	4_1_1
Cfa 244	5402_11487_547
Cfa 246	2133_8862_422
Cfa 247	7_3_3
Cfa 248A	1_1_1
Cfa 250	10_8_2
Cfa 251	1_3_1
Cfa 252	478_588_84
Cfa 261	15_60_15
Cfa 265	99_264_33
Cfa 266	173_148_74
Cfa 271	10_24_8
Cfa 272	5_17_17
Cfa 278	1443_5082_242
Cfa 280	1_4_4
Cfa 284	3_7_7
Cfa 285	14_1_1
Cfa 286	3318_6840_380
Cfa 287	46_15_15
Cfa B13	686_1920_240
Cfa B14	1679_3240_180
Cfa B16	6_1_1
Cfa B17	358_936_104
Cfa B18	16_11_11
Cfa B19	24_56_14
Cfa B20	8_16_4
Cfa B21	3_20_5
Cfa B22	1_77_7
Cfa B23	219_559_43
Cfa B24	121_27_27
Cfa B25	205_612_68
Cfa B26	35_40_40
Cfa B27	163_1036_148
Cfa B34	28_29_29
Cfa B35	12_77_11
Cfa B36	1_7_1
Cfa B37	992_7134_174
Cfa B38	1626_11800_295
Cfa B52	41_20_20
Cfa B57	1_2_2
Cfa B60	1_1_1
Cfa B76	2389_5369_413
Cfa B81	177_1456_91
Cfa B82	11136_58120_1453
Cfa B83	4987_31950_639
Cfa B84	11045_68360_1709
Cfa B85	332_148_148
Cfa B89	2_2_2
Cfa B92	32_1026_6
Cfa B93	6_14_14
Clark 105	42_36_1
Clark 117	960_2680_67
Clark 301	21_2_1
Clemen 04	30326_53235_1183
Clemen 06	29575_51435_1143
Clemen 1001	180_131_131
Clemen 1002	33_18_6
Clemen 1003	143_142_71
Clemen 1004	4333_29925_855
Clemen 1005	164_84_84
Clemen 1007	53_19_19
Clemen 1009	74_46_46
Clemen 1010	354_908_454
Clemen 1010A	34_27_27
